 	oocyte	sperm	placenta	trophoblast stem cell	episc	esc	HSC	Common Lymphoid Progenitor (CLP)	Common Myeloid Progenitor (CMP)	Granulocyte-Monocyte Progenitor (GMP)	Megakaryocyte-Erythroid Progenitor (MEP)	pre B Cell	B Cell	monocytes - classical	dendritic cell - plasmacytoid	macrophage	thymocyte DN	thymocyte - DP	T Cell	natural killer cells	neutrophils	microglia	erythroblast	spleen	Langerhans cell	lymph node stromal cell	medullary thymic epithelial	terminal bronchiolar epithelial cells	endothelial cell - gonad	endothelial cell - blood vessel	endothelial cell - lymphatic vessel	msc	osteoblast	keratinocyte	mef	fibroblast - cardiac	fibroblast - skin	fibroblast - thymus	myoblast	skeletal muscle	cardiomyocyte	mammary gland - lactating	adipose - white	adipose - brown	bladder	kidney	liver	lung	prostate	pituitary	thyroid	pancreas - islets	pancreas - whole	intestine - large	intestine - paneth cell	intestine - small	nsc	npc	neuron - glutamatergic	olfactory epithelium	retinal pigment epithelium	cornea	lens
Elk3	0.000310082	-0.00303876	0.000315689	0.00013197	0.000263158	0.000471037	-6.24E-05	-0.000654699	4.62E-05	0.000319022	0.000356717	0.000656056	0.00026056	4.02E-05	-0.000412769	0.000131618	0.000623738	0.000278231	0.0001326	-0.000200158	0.000601735	-0.000475517	0.000186584	0.000419595	0.000113948	0.000108021	0.001052481	-6.88E-05	-0.000142296	0.00044193	-0.000249959	0.000176138	-2.43E-05	0.000642005	-0.000244608	-0.000106899	-0.000243158	-0.000491756	0.00037759	-8.37E-05	-0.000164463	0.000342382	-0.000765475	0.000343875	0.00028187	0.00158254	0.000882332	-0.000285426	0.001214541	0.000371451	0.000549989	0.000541082	0.000995201	-0.001859983	-0.002650129	-0.002319357	0.001044865	0.000548124	-0.002975986	0.000737729	0.000361879	0.000212928	-0.000125925
Elk4	0.000813147	0.000386948	-0.00036575	0.001824497	-0.002579484	-0.002648035	-0.000311339	4.63E-05	0.000298056	-2.15E-05	0.000122669	4.94E-05	2.83E-05	0.000294093	0.00019892	-0.000748096	3.74E-05	-0.000241553	0.000238731	-0.000323525	0.000403375	0.000295637	0.000468028	0.000410376	-0.000114198	-9.96E-06	7.96E-05	-0.000113027	0.000398139	4.99E-06	3.30E-05	0.000117809	7.90E-06	0.000166727	4.04E-05	0.000266387	0.000172732	-9.82E-05	0.000469973	-5.02E-05	-0.000267781	0.000254231	-7.13E-05	-0.000170296	0.000171958	-0.000130546	-0.000452322	2.63E-05	-0.000370393	0.000172981	0.000162529	-1.66E-05	-5.78E-05	3.20E-05	0.000372143	0.000272332	0.000327448	0.000720155	0.000187194	0.000165243	0.000276399	-0.000228124	0.000429719
Emx1	0.000168958	-0.000420913	0.000959074	0.001932232	0.001856072	-0.002855678	-0.003198904	-0.002837068	0.002629031	5.18E-05	9.52E-05	-0.001544434	0.002145004	-0.000517188	0.000731699	4.09E-05	0.002094488	-0.000246269	-0.000527314	0.000196527	-0.000122994	-0.00041007	-0.000220799	-0.001339805	-5.34E-05	-0.00133722	-0.000100619	0.000827713	0.000755995	0.000467094	0.001164424	-0.002132922	0.001929688	-0.000830399	-0.002294353	-0.000254965	0.001285404	0.001247981	0.000183686	0.001612497	-0.004380943	-0.000269223	0.002118469	0.001245478	-0.000905039	0.003159213	-0.000862741	-0.00145401	-0.000843133	-0.002731493	-0.000296743	0.001492252	0.000697963	-0.00221233	-0.001339962	0.002850034	0.000216929	-0.001569861	0.001725823	-0.001708723	0.000832061	0.000595626	0.002803258
Emx2	-0.000647574	0.00217283	-0.000301113	-0.000162272	0.000165794	-0.000333796	-0.000494776	0.000405867	-0.00012504	-0.000104933	-0.000700842	0.000314201	-0.000184928	-0.000222728	5.09E-05	0.00087094	0.000368195	-0.000694788	0.000561388	0.00032171	-0.000349996	-0.000239933	0.000370612	-0.000922495	-0.000201982	7.80E-05	-0.001215728	-0.001129814	-3.01E-05	-0.00015949	0.000106078	-0.000455967	-8.79E-05	-0.000833415	0.000163814	-0.000108906	-7.09E-05	0.000126217	0.000295328	-0.000742499	-0.00059068	8.68E-06	0.000316822	-0.000213147	-0.000586746	0.004061861	-0.001112457	7.94E-05	-0.000521968	-0.00077281	-0.000325646	-0.000413074	-0.000395613	-0.001422397	0.000465579	-0.000554653	-0.0008977	-0.000173585	-0.000646721	0.003321196	-0.000788488	0.003573452	-6.44E-05
Eny2	0.000362366	0.00043498	0.00017257	-3.00E-05	3.61E-05	6.20E-05	0.000104413	-0.000119981	-9.42E-05	0.000142324	-2.75E-05	3.92E-05	9.50E-05	0.000767069	0.000121155	-0.000131007	-0.000455856	0.000519071	2.12E-05	0.000175034	-0.002581446	0.000679524	5.27E-05	0.000225296	0.000255279	5.33E-05	0.000350268	-2.49E-05	2.54E-05	-8.71E-05	-0.000192122	-5.79E-05	-4.28E-05	6.24E-06	-0.000192917	0.000499353	-2.52E-05	8.22E-06	-4.37E-05	1.64E-05	3.32E-05	-0.000108242	-5.90E-05	9.17E-05	5.74E-05	-0.000155694	-7.93E-05	9.08E-05	-6.28E-05	5.79E-05	-2.83E-05	-5.43E-05	0.0001531	0.000158592	-1.58E-05	6.30E-05	-0.000107983	0.000297991	0.000172128	-0.000151026	0.000101632	-5.80E-05	-0.000271235
Eomes	-0.000745559	-0.000319384	-0.000656585	0.003259124	0.003338181	-0.002423425	-4.52E-05	-0.000412412	-0.000217576	-0.000206125	4.30E-05	0.000565646	-0.001083965	-0.000844292	-0.000300794	0.000174078	0.001145237	-0.001642055	-0.002074457	0.005896409	-0.000650176	-0.000724247	-0.00047632	-0.000221698	-0.000145813	-0.000478571	-0.000358474	-0.00035942	-0.00062657	0.000290643	0.000161268	-0.000578901	-5.87E-05	-9.57E-05	0.00043617	-5.64E-05	4.89E-05	0.000189138	-0.000338678	1.71E-05	0.000209308	4.43E-05	0.000528855	-8.12E-05	0.00027626	0.000251656	-0.000107077	-7.69E-05	-7.72E-05	-0.000253268	-0.000596112	-0.000349872	-0.000139904	-0.000452077	-0.000157182	0.000425903	-0.000179362	-0.000929728	-0.000372428	0.000197749	0.000142627	5.94E-06	8.46E-05
Epas1	-0.001534476	0.000632164	0.000632522	-0.002261311	-0.002453442	0.003178979	-0.001537966	-0.000360917	0.000913461	0.000943774	-0.00122711	-0.000975232	-0.00167282	-0.002039487	-0.002939564	0.003776003	-0.001199896	-0.002371521	0.003731269	0.002629161	-0.001658433	-0.002358933	0.001583641	0.002646918	0.000651969	0.000721072	0.000543821	-0.000698277	0.000642366	-0.000464508	0.000588992	-0.000501332	-0.002434124	0.001511483	-0.003016405	0.000336414	0.000547659	-0.000913104	-0.001127717	-0.000553248	-3.40E-05	0.000169667	0.000358949	0.001522429	-0.000913184	-1.21E-05	-0.000491402	0.00011938	-0.000246305	0.00074148	-0.000719409	0.001124609	-5.06E-05	0.000237386	0.000351416	0.000269944	0.001452686	0.001169072	-0.002738935	0.000971122	0.00100237	0.000432983	0.002513444
Erf	0.000735624	2.87E-05	-0.00014041	-0.000251266	-0.000145978	0.00073128	0.000426102	0.002558954	6.62E-05	-0.000273379	0.000339629	-0.00566396	0.003308655	0.000516413	0.00043356	3.03E-05	-0.000864249	0.0002485	0.000412454	1.51E-05	0.000695231	-0.000236323	0.000291194	-0.003928607	0.000292839	0.000391959	-0.000632978	-0.000266983	0.000354536	-0.000146541	-0.00011531	0.000182994	0.000146028	-6.04E-05	-0.000333264	0.000276389	-0.000317593	-0.000373191	0.000653857	-7.63E-05	0.000457807	0.000434895	0.000138203	-0.000696024	0.000142304	-1.48E-05	-0.000463002	0.000561727	-0.00024861	2.73E-05	0.000850195	-0.000639224	-0.000114007	0.000186444	0.000531111	0.000361932	-4.94E-05	0.000101231	0.000609461	0.000410518	-5.72E-05	0.000334962	-7.03E-05
Erg	0.000951783	-0.000793858	-0.001408019	-0.001017812	-0.000109212	-0.000595678	0.000481185	0.00062317	0.001911649	0.003374959	-0.002979501	0.005006579	-0.001696532	-0.004101067	-0.002403502	-0.001215643	0.00579905	-0.002777181	-0.002008005	0.000790119	0.003028914	-0.001265913	0.002827248	-0.003982613	-0.000453494	0.002908813	-0.001125378	0.000747965	0.000290389	0.002836472	0.001548895	-0.000958548	-0.001642419	-0.000311886	0.000158143	0.001559243	-0.00172553	-0.002855706	-0.000509012	0.001701506	0.001430009	0.005244642	0.003126306	-0.004956076	-0.002638454	0.001679046	0.002325039	0.002273435	-1.69E-05	-0.00025481	-0.002643963	-0.000713855	-0.001482449	-0.001922488	-0.000693013	-0.000315889	-0.001535441	-0.000262005	0.000217083	0.000367405	-0.001793004	0.003546557	-0.001969431
Esr1	0.001984559	0.001674793	0.003029212	-0.00129356	-0.000150424	0.000516193	0.002471613	0.002189562	0.002372677	0.000488547	-0.002952145	-0.003902023	0.006124736	0.00177321	-0.00376983	-0.002190916	0.004269857	-0.002916304	-0.004039024	0.004653289	-0.00065839	-0.001195163	-0.000171046	-0.00124319	-0.002042578	0.001692182	-0.001917097	-0.002541858	-0.00057825	-0.005047944	0.003354947	0.003694605	-0.002276811	-0.001035896	-0.002465396	0.002332057	0.001806433	0.000801471	-0.001335807	0.001884942	-0.0044139	0.001437598	0.001365883	0.000681707	0.001479159	0.001467659	0.003119505	-0.002958934	0.001270356	0.003350828	0.0015713	-0.002735307	-0.002056862	-0.001177213	-0.000713262	-0.000321143	-0.000471817	-0.00046794	-0.000605003	-0.001272722	-0.001087359	0.000325221	-0.000540577
Esr2	0.001619504	-0.000172217	-4.62E-05	-0.000144084	-0.000143483	-0.000357701	0.000101751	-6.00E-05	0.000219194	-0.000229352	-0.000158388	-0.000228947	-0.000237687	-1.17E-05	-9.64E-06	9.52E-05	-6.51E-05	6.08E-05	0.000143508	1.77E-05	-0.000355673	0.00015525	6.38E-05	-6.92E-05	8.06E-05	-0.000163174	-0.000220923	-0.000223449	-0.000102874	0.000130545	4.50E-05	9.73E-05	4.23E-05	-0.000110328	0.000158575	-0.000157118	4.84E-05	4.33E-05	-4.23E-05	-0.000149842	3.12E-05	4.77E-05	0.000141202	8.54E-05	-0.000165683	-5.02E-05	-2.50E-05	8.95E-05	-1.05E-05	0.000115983	1.15E-05	-9.99E-05	-4.19E-05	-1.62E-05	-2.34E-05	-2.52E-05	-0.000327838	-0.000220626	-0.000277588	1.39E-05	-7.72E-05	-0.000152632	8.39E-05
Esrra	-0.000861778	0.000438212	4.07E-05	5.45E-05	0.001677959	0.000480179	0.000327242	0.000553412	0.000617467	-0.000122346	-3.22E-05	0.000480014	0.000212968	-0.000429643	-0.000331017	0.000261814	-0.000333307	0.000362222	-0.000235559	3.54E-05	0.000397811	-0.000185031	0.00049223	2.12E-05	-2.00E-05	6.40E-05	0.000383439	-0.000546541	-0.001047902	-0.000102014	0.000414893	-0.000225182	0.000146763	0.000847214	0.000904091	-0.001678379	0.000245372	0.000464824	0.000761614	-3.16E-05	0.001081559	-0.000362366	0.000150911	-0.000151335	0.000601221	0.00022603	0.000595151	-7.07E-05	0.000644981	-9.15E-05	0.000214659	0.000419041	-0.000230966	-0.000105961	-0.000105603	-0.000372851	-0.000299268	-0.002202645	0.001964537	0.00067061	-0.001846656	-0.001774322	-0.003067874
Esrrb	0.001225416	-0.000664023	-0.000940256	0.002414331	-0.001639434	0.002486794	-0.000478768	-0.000287344	0.000359199	7.26E-05	-0.000642727	-0.00020511	-0.000471724	0.00035118	0.00076619	0.000484466	-0.000130876	0.000439737	0.000312719	0.000378603	-0.000138503	-0.000373094	-0.000785367	-0.000889366	0.000293319	-7.29E-05	-0.000264853	-0.000247755	-0.000324709	-0.000231708	-0.000496013	-0.000663104	-0.000123276	2.64E-05	-0.000283142	-0.000296604	0.000600623	-0.000190107	-5.41E-05	-0.002288655	0.005166738	0.000560951	-0.000896536	-8.12E-05	-0.000737733	0.004121022	-0.000909486	-0.001242408	-0.000347068	-0.000634999	0.000371187	5.16E-05	0.000339885	-0.000470096	1.73E-05	-0.000900661	-0.000159051	-0.000310285	-0.000391477	-0.000391519	-0.000400637	-0.000324818	-0.00043554
Esrrg	0.001180087	-0.001351993	-0.000326602	-0.000287333	0.000169752	-0.000118109	-0.000314335	0.000378154	5.66E-05	0.000375087	-0.001192982	0.000203786	-0.00088606	-1.21E-06	0.000514563	0.000431608	-0.000755571	0.00031238	0.000700859	-0.000699352	-0.000559856	-0.000816753	-8.86E-05	0.000815917	0.000219586	-0.000382325	0.003119755	0.000126878	0.000105989	-0.000472288	7.23E-05	-0.00027771	-0.000217038	-0.000863569	0.000504585	-0.000945964	-0.000777019	-0.000612856	1.84E-05	0.001929945	0.003205944	-0.001107697	-0.003611222	0.005473609	-0.001882409	0.003491827	-0.002644792	-0.001529671	0.003996535	-0.002565713	-0.001237187	0.003408725	-0.001238443	-0.002204469	0.003133453	-0.001317433	0.000262298	-0.000851706	-0.000611562	-0.000787695	-0.000512424	-0.000884131	-0.000507117
Esx1	-0.000512827	-0.000252919	0.004293905	-0.000954312	0.000271188	-6.01E-05	6.25E-05	-6.09E-05	0.000312339	-0.000107265	-4.81E-05	-1.47E-05	-6.58E-05	-0.000524181	-5.48E-05	0.000362585	0.000451917	0.000171111	-0.000253163	3.56E-05	-0.000632531	0.000113319	-0.000335157	0.000125892	-0.000246494	4.27E-05	3.43E-05	0.000441505	-4.69E-05	-0.000295267	-0.000650158	-0.000206865	-0.000189342	-0.000164587	0.000105519	-0.000300472	-0.000118453	-0.000147098	-1.65E-05	-0.000104186	-4.40E-05	0.00011415	-8.34E-05	0.000207815	-0.000466403	3.76E-05	2.99E-05	-0.000457033	-8.54E-06	-0.000239004	-0.000111893	-0.000128686	-0.000115325	0.000321602	-0.000273583	-0.000539221	9.74E-07	-0.000382405	-0.000242701	-0.000117548	8.89E-06	-0.000148499	1.22E-05
Etohi1	0.00053694	0.001226148	8.58E-05	0.000728134	-3.57E-05	0.00016456	-0.000319624	0.000921447	-0.000371791	0.000357387	0.000241821	-8.61E-05	0.000486161	0.001431031	3.84E-06	-0.000965439	0.000342924	-0.002916707	0.003053824	-0.004129444	0.001548709	0.001652026	-0.004280915	2.87E-05	0.000523434	0.000353657	-0.002682142	-0.000108496	0.000694838	-0.000148667	1.45E-05	-0.000530807	0.000208228	2.14E-05	-3.05E-06	8.68E-05	0.000599834	0.000184554	-0.000313018	0.00076124	-0.000546988	0.000476785	-0.000160134	-0.000648916	2.50E-05	-6.58E-05	0.000867595	0.000141178	-0.000985425	0.000112166	8.57E-05	0.000678637	0.00102951	3.98E-05	0.000765379	-5.66E-05	0.000332343	0.000482677	5.19E-06	7.60E-05	-0.000381849	0.000153737	0.000354751
Ets1	-0.000609727	-0.001048591	0.000510989	-0.001030179	-0.000512505	-0.001795724	0.002363588	0.001247383	-0.004252607	-0.003227748	-0.001590015	-0.000208209	0.001180848	0.002605709	0.000642958	-0.001076078	0.001718584	0.000421124	0.000398399	-0.000505808	0.000595933	0.00076664	0.001264003	2.81E-05	0.001190759	-0.000276535	-0.002441517	0.001806709	0.000275695	7.30E-05	0.000143446	0.000793456	6.96E-06	0.001291672	0.000800163	0.000265244	-8.50E-05	-0.000255554	0.00085805	0.000532337	-0.000336726	0.000502277	-0.001446226	0.00029306	0.001603167	0.00209808	0.000726897	-0.000589655	-0.003838478	0.002800325	0.001083623	-0.002711877	0.001180309	-0.004375462	0.002471484	0.002687853	0.003366479	-0.001567601	-0.001876592	-0.00203307	-0.002821571	-0.00231772	0.001389648
Ets2	0.000253056	0.000219837	0.000233009	-0.000229462	0.000858495	-0.000234271	0.00280132	0.001626608	-0.006771796	0.003143213	0.001862933	0.000156846	0.003115202	-0.00477072	-0.005893787	0.001868226	-0.000187238	0.001848579	0.002028325	-0.005169855	0.001430995	0.00141854	-0.000135072	0.000905577	0.000300015	0.000994074	0.000400321	6.03E-05	0.000439742	-0.000311015	-5.60E-05	-0.000139261	4.90E-05	-0.000322637	-0.000716494	0.000315156	0.000775507	-0.000339525	6.92E-05	0.000138826	-0.000572654	4.18E-05	-8.50E-05	-6.98E-05	-0.000164797	-0.00047652	0.001071308	0.000412435	-1.74E-05	-0.000367644	0.000260367	0.000512499	-5.95E-05	3.67E-05	0.000428513	-0.000688991	9.97E-05	-0.000233957	0.000150617	7.16E-06	-0.000367848	0.000406883	-0.000191986
Etv1	-0.000526907	-0.000993432	-0.000273756	-0.001710042	0.001229149	0.002528547	-0.001270015	-0.001215344	-0.000932475	0.00081067	0.000245159	-0.000708292	0.000152427	0.000545138	-6.06E-05	-0.001244607	-0.000127922	0.000303629	0.00081097	-0.000958214	-0.000290661	0.003754275	-0.00050531	-0.000627192	-0.00043172	-0.003629381	-0.00117713	0.003003198	-0.002052706	-0.001108665	-0.001358628	-0.002633249	0.004013621	-0.001194506	-0.003481992	0.001670063	0.002283158	0.004281217	0.002830915	-0.001449576	0.003337481	0.003653802	-0.003067465	-0.002501615	-0.003798632	0.003872731	-0.001499564	0.001633491	0.001860888	0.000246202	0.001500716	0.001891579	-0.000346192	-0.00037629	-0.001809521	0.000218339	0.000788317	0.000727976	0.001126601	-0.002620678	-0.002883169	-0.000897971	0.000642547
Etv2	-0.000616135	-0.000295294	0.000265189	-0.000587844	0.003911955	-0.001493161	0.000168566	5.04E-05	-0.000362425	-0.000303367	-3.45E-05	0.000155179	-0.00022904	-0.000216366	-0.000300851	0.000496291	0.000202116	0.000127449	2.37E-05	1.71E-05	-0.000502047	-0.000192107	-0.0001575	-4.44E-05	0.000218812	-0.000242544	3.42E-05	-2.23E-06	-0.000303569	0.000204721	0.000131515	-6.17E-05	-0.000128867	-0.000142348	0.000350207	-0.000226177	-0.000162881	0.000171914	-0.00026689	0.000245167	0.000258885	-0.000330159	0.000180435	-0.000207175	-0.00010911	0.000199489	0.000218784	-6.00E-06	0.000269939	-1.52E-05	-0.000300452	-0.00016568	-5.00E-05	-0.000206565	-0.000320412	0.000108572	-0.000319733	-0.000800174	-0.000226591	4.61E-05	-0.000197905	2.93E-05	-0.000134141
Etv3	-0.001619504	0.000172217	4.62E-05	0.000144084	0.000143483	0.000357701	-0.000101751	6.00E-05	-0.000219194	0.000229352	0.000158388	0.000228947	0.000237687	1.17E-05	9.64E-06	-9.52E-05	6.51E-05	-6.08E-05	-0.000143508	-1.77E-05	0.000355673	-0.00015525	-6.38E-05	6.92E-05	-8.06E-05	0.000163174	0.000220923	0.000223449	0.000102874	-0.000130545	-4.50E-05	-9.73E-05	-4.23E-05	0.000110328	-0.000158575	0.000157118	-4.84E-05	-4.33E-05	4.23E-05	0.000149842	-3.12E-05	-4.77E-05	-0.000141202	-8.54E-05	0.000165683	5.02E-05	2.50E-05	-8.95E-05	1.05E-05	-0.000115983	-1.15E-05	9.99E-05	4.19E-05	1.62E-05	2.34E-05	2.52E-05	0.000327838	0.000220626	0.000277588	-1.39E-05	7.72E-05	0.000152632	-8.39E-05
Etv4	-0.000550897	0.002425871	-0.001860045	0.001557043	0.001657266	0.000713704	0.000541995	-6.97E-05	-0.000183966	-0.003279674	-0.000633143	-0.000542353	-0.000355075	0.005058576	0.000544098	-0.001459749	-0.000299197	-0.001070225	0.000631643	-0.000380223	0.002085951	-0.00087374	-0.001188888	-0.000365478	-0.001732266	-0.002758686	-0.001087563	0.000583051	-0.000929385	-4.56E-05	-0.000744097	0.001365859	0.002431562	0.002748611	0.001129938	-0.001283865	-0.002693317	0.00681694	0.001789199	0.000759025	-3.42E-05	-0.0009764	-0.000433087	-0.001563722	-0.000465953	0.000155734	0.00041704	-0.00026382	-0.000647654	-0.000496584	0.0002558	9.98E-05	0.000286342	-0.00047227	-0.000281251	-0.00051688	0.000118625	-0.001203767	0.000180578	-0.000724428	-0.000105477	-0.00064781	-0.001473965
Etv5	0.000927449	-0.001412795	-0.002391016	0.000928751	0.000890534	0.000166652	0.002723095	0.004358117	-0.004373067	0.004402499	-0.002072491	-0.004219948	0.000287551	-0.003130247	-0.002552898	0.004034976	-0.002416986	0.000284627	-0.000374765	-0.001732046	-0.000597328	0.001805284	0.001424258	0.001983936	0.001677491	0.00115703	-0.002092875	-0.000221248	0.000500852	0.002697311	-0.00537173	-0.000578198	0.000520954	0.000632825	0.000791732	0.001008665	0.000678872	0.001767838	0.000932515	0.000832292	0.00089144	0.001501607	-0.004903076	-0.002952418	0.000517285	0.00181592	-0.001850781	0.001349597	-0.003709007	-0.000247336	0.001820921	0.002270205	0.002515634	0.003795303	-0.001540147	-0.003574514	0.000160869	-0.002952169	0.000482283	0.000213513	0.000281258	0.000619336	0.0005043
Etv6	-0.001119357	0.000228055	0.001537535	-0.002320776	0.002031658	-0.002051672	-0.000403294	0.000206332	-0.000485453	0.000125448	0.002140079	0.000421757	-0.000224684	9.20E-06	-0.000236053	-0.000144397	0.000675923	0.000378701	-0.000355626	0.000255666	-2.77E-05	3.61E-05	-0.00377096	0.000500668	0.000573213	0.000431346	0.000896664	-0.000369686	0.000270836	-0.000168272	-4.11E-05	0.000594498	-1.16E-05	0.000188939	0.000486651	-9.89E-06	-8.92E-05	-0.000396751	0.000417238	-0.003900526	0.001927819	1.30E-05	-0.000148374	0.00054137	0.000394942	0.000918188	0.001120676	5.30E-06	-0.000718381	0.002709189	-4.94E-05	-0.003365932	0.000665798	0.00057594	-0.000257838	0.000857761	0.000928273	0.000396785	-0.00233199	-0.003194664	0.000954665	0.000564748	0.001540166
Evx2	-0.000292375	0.000331343	-0.001527218	-0.00076701	0.000470926	-0.000111758	0.001158053	0.000136025	-0.00246864	-9.21E-05	0.004194435	0.000665882	-0.002015502	6.32E-05	-0.003105206	0.004266737	-0.002826222	0.001079458	0.002826338	-0.000339034	-0.000293633	0.000692419	0.000988852	-0.000460621	-2.65E-05	-0.000357283	0.000418275	0.000273299	-0.000389831	0.002930075	-0.003184665	-0.000163803	-0.001954069	-0.000511097	0.00067231	-0.000917713	0.000768245	0.003504254	-1.07E-05	0.002760289	-0.001130491	0.000650459	-0.000866659	-0.003047781	-9.40E-05	-0.000716716	0.002249446	-0.000739743	-0.00015728	-0.000747552	0.000362505	-0.001131968	0.000927944	-0.000182807	-5.33E-05	-0.001588025	0.000327335	-0.000144157	0.00057741	-8.56E-05	0.000107783	-0.000555956	-0.000783031
Ezh2	0.000175596	0.00029409	0.000105861	-7.41E-05	0.000181509	0.000421975	0.000284354	0.000192805	-0.000103943	0.000419783	-0.000429267	7.34E-05	0.000375108	-0.000301219	0.000593041	0.000553439	-2.04E-05	0.000547543	-0.000378766	0.000841205	0.001177609	-0.004622958	-0.000156216	-0.000273133	0.000291649	0.000474506	0.000520181	0.000135273	-0.000122402	0.000235837	-0.000315155	5.54E-05	0.000384936	-0.000248434	-0.000314983	2.36E-06	0.000227053	0.000277396	0.000407979	9.31E-05	0.000667595	-0.000107152	-0.000592204	0.000100719	-0.000162509	0.000390525	9.60E-05	-0.000376067	0.000313903	-0.004620197	0.00072845	0.001591774	0.000737614	6.98E-05	-2.53E-05	-0.000662178	0.000336498	-3.46E-05	0.000870826	0.000720498	0.000345685	-0.000231986	-1.59E-05
Fev	-0.000727534	0.000595293	0.000290843	0.000402569	-0.001957762	0.002768991	-2.18E-05	0.001099635	0.000305071	-0.000927964	0.000425136	0.002091237	-2.54E-05	-0.000272426	0.000559232	0.001564206	-0.000104662	-0.000285562	-0.000617688	-4.40E-05	0.000440331	-0.000573037	0.000601718	-0.003907237	0.000266199	0.00085566	-0.000256679	-0.001700411	-0.000641406	-0.00122786	0.000882232	0.002685953	0.001622125	-0.00133888	-0.00489749	-0.000426106	0.001047925	0.000912524	-0.001498068	-0.000348398	0.000973692	-0.000671624	-0.005929208	0.005108063	-0.000514766	0.001117187	-0.000989376	0.003336647	-0.002224573	0.00123279	-0.001147139	-0.000428483	-8.97E-05	0.001873391	0.001019222	0.000226513	-0.001175456	-0.0010301	0.001870069	-0.00309946	-0.001293247	0.00340954	0.001268059
Fezf1	-0.000479036	-0.000204047	-0.000143817	0.000113338	2.58E-05	-0.000372009	-5.97E-06	-3.30E-05	0.000396258	2.32E-05	-0.000557561	-8.56E-05	-7.87E-05	-0.000214127	-0.000254975	0.00061224	0.00039747	-0.000149338	0.000264226	4.14E-05	-0.000335205	-1.03E-05	0.000308023	-0.000380347	3.77E-05	3.02E-05	-0.000310653	0.000113673	0.000175945	0.000233296	-5.06E-05	-0.000375298	-2.51E-05	-6.59E-05	8.70E-05	-0.000269422	-2.44E-05	-7.26E-05	-0.000224261	-0.000469797	6.66E-05	-0.000337178	0.000630771	-0.0001106	-7.68E-05	-0.000340053	1.43E-05	-0.000107182	0.000267486	-0.000756263	-0.000459328	-0.000214595	-0.000191815	-0.000453761	0.000311198	-0.000366223	-0.000205587	-0.000338925	-0.000722299	0.004086758	-0.000329834	-0.00042794	0.00017745
Fezf2	-0.000585846	-0.000578367	0.0001709	-0.000141003	0.000192957	-0.000235129	-0.000274785	6.93E-05	0.000266892	-0.000125511	6.79E-05	0.000163042	-0.000325481	-0.000167146	0.000125095	0.000582208	-0.000132418	-7.76E-06	-7.06E-06	-0.000394473	-0.000603039	-0.00045561	0.000176283	0.000210617	-0.000701682	-0.000387555	0.00327388	0.000485464	0.000248002	1.32E-05	1.18E-05	-0.000158561	-0.000112244	3.08E-05	0.000435899	-0.000397691	-2.62E-05	4.03E-05	-0.000143816	-0.00018656	0.000194077	-0.000262461	0.00010654	0.000221791	-0.000212119	-0.000102443	0.000203333	5.41E-05	0.00036257	-0.000575903	-0.000103753	-0.000480032	-0.000204563	-9.64E-05	-0.000275372	-0.000394445	-0.001103395	-0.000735803	0.002976286	-0.000627364	1.29E-05	-0.000355165	-0.000423961
Fhl2	-0.000308376	-0.000554509	0.002063534	0.002309923	-0.000133682	-0.002001837	-0.000130228	-0.000121418	0.000243123	6.39E-05	-0.000369321	-0.00038003	2.69E-06	-0.000499917	0.001046105	-0.00085969	-0.000216256	0.000804626	-0.000540349	0.000670755	-0.000193493	-0.000384813	-0.000636953	-0.00054896	-0.001276392	0.003285345	-0.000752315	-0.001088707	-0.000606845	-0.002292609	-0.002394954	0.000437496	0.001533581	0.001557006	0.00023765	0.002117738	0.00169885	0.001828236	0.00224004	-0.002752585	0.004519675	-0.003222549	-0.002228733	-0.001742539	0.002300276	0.00284604	-0.001307067	-0.002234143	0.001325445	-0.000833408	-0.000740322	-0.000370299	-0.001290348	0.001014792	0.001716921	0.001266198	-0.000310608	-0.001552243	-0.000148862	-0.000844013	-0.00048182	-0.00144235	-0.0001171
Fhl5	-0.000378043	-0.000256273	0.000360948	9.61E-06	-0.000362647	0.000167746	-0.000219458	0.000570194	-0.000183202	-0.000240739	0.000386549	-0.000116258	0.000178236	-0.000659513	-0.000118918	0.000818869	0.00050954	-0.000144353	-0.000176868	0.000131841	-0.000200974	-0.000125302	-0.000189439	-0.000535714	0.000129384	0.005619202	-0.000432781	-0.000462813	0.000141838	-0.000749672	-0.000429701	-0.000244748	-0.00057618	-0.00073059	0.000514344	-0.000142347	-0.001559118	-0.001700847	-0.000402635	-0.000667782	-1.03E-05	0.005548852	-0.001213319	-0.000535047	-0.001394344	0.00030969	4.84E-05	-0.000212378	-0.000208594	-5.78E-05	-0.001253132	0.000368742	-0.000396699	-0.000251437	-0.000197333	0.000180061	-6.67E-05	-1.45E-05	-0.000392496	-7.66E-05	0.000204592	0.000133794	0.000199784
